claim_id,day_offset,date,avg_temp_c,max_temp_c,avg_pressure_kpa,max_pressure_kpa,vibration_rms_mm_s,runtime_hours,power_draw_kwh,error_code_count,telemetry_received
CLM-0002134,-60,2024-07-06,50.16,52.87,420.2,448.1,1.115,2.95,4.43,0.0,True
CLM-0002134,-59,2024-07-07,48.4,52.11,391.6,415.5,1.403,2.23,3.77,0.0,True
CLM-0002134,-58,2024-07-08,48.53,51.86,435.4,461.5,1.047,1.72,2.31,0.0,True
CLM-0002134,-57,2024-07-09,49.59,52.01,449.2,479.5,1.221,2.39,3.6,0.0,True
CLM-0002134,-56,2024-07-10,50.35,54.61,413.5,449.0,1.363,2.41,4.1,0.0,True
CLM-0002134,-55,2024-07-11,49.8,53.36,437.6,467.9,1.13,2.37,3.47,0.0,True
CLM-0002134,-54,2024-07-12,45.22,47.37,418.0,447.2,1.215,2.95,4.39,0.0,True
CLM-0002134,-53,2024-07-13,49.27,51.41,411.0,432.0,1.312,2.55,3.42,0.0,True
CLM-0002134,-52,2024-07-14,47.44,50.22,414.3,436.5,1.065,2.72,4.26,0.0,True
CLM-0002134,-51,2024-07-15,47.66,51.11,421.3,449.9,1.536,2.3,3.23,0.0,True
CLM-0002134,-50,2024-07-16,49.67,50.45,409.2,431.3,1.356,2.57,3.39,0.0,True
CLM-0002134,-49,2024-07-17,52.15,54.35,429.1,457.7,1.146,1.88,2.53,0.0,True
CLM-0002134,-48,2024-07-18,48.29,50.71,412.2,430.7,1.165,2.5,3.82,0.0,True
CLM-0002134,-47,2024-07-19,52.7,54.26,403.9,444.3,1.487,2.1,2.67,0.0,True
CLM-0002134,-46,2024-07-20,46.56,48.53,419.7,446.3,1.147,2.93,3.98,0.0,True
CLM-0002134,-45,2024-07-21,51.21,54.35,409.6,435.6,1.129,2.43,3.81,0.0,True
CLM-0002134,-44,2024-07-22,49.61,52.12,415.1,436.2,1.372,2.67,3.98,0.0,True
CLM-0002134,-43,2024-07-23,49.17,51.76,419.2,459.5,0.99,2.5,3.48,0.0,True
CLM-0002134,-42,2024-07-24,51.52,53.14,399.9,414.9,1.188,3.12,4.59,0.0,True
CLM-0002134,-41,2024-07-25,47.48,50.26,441.9,461.3,1.213,1.78,3.19,0.0,True
CLM-0002134,-40,2024-07-26,51.31,52.8,432.2,464.0,1.094,2.35,3.92,0.0,True
CLM-0002134,-39,2024-07-27,48.33,52.79,410.5,437.5,0.965,2.02,2.99,0.0,True
CLM-0002134,-38,2024-07-28,47.47,52.21,419.7,440.1,1.21,1.58,2.62,0.0,True
CLM-0002134,-37,2024-07-29,46.1,48.62,429.5,450.2,1.303,1.99,3.02,0.0,True
CLM-0002134,-36,2024-07-30,51.92,53.8,423.1,445.8,1.098,2.87,3.77,0.0,True
CLM-0002134,-35,2024-07-31,51.03,54.89,448.2,474.0,1.023,2.39,3.0,0.0,True
CLM-0002134,-34,2024-08-01,47.79,51.39,416.4,453.8,1.388,2.31,3.2,0.0,True
CLM-0002134,-33,2024-08-02,49.84,54.72,437.8,467.7,1.279,2.71,3.59,0.0,True
CLM-0002134,-32,2024-08-03,49.0,54.14,400.0,433.2,1.146,2.45,3.75,0.0,True
CLM-0002134,-31,2024-08-04,48.04,49.02,402.3,423.8,1.338,2.65,3.8,0.0,True
CLM-0002134,-30,2024-08-05,50.68,54.84,445.3,474.4,1.236,2.53,3.92,0.0,True
CLM-0002134,-29,2024-08-06,47.5,50.28,413.5,426.1,1.468,2.62,4.06,0.0,True
CLM-0002134,-28,2024-08-07,44.37,47.92,402.5,428.9,1.3,2.22,3.54,0.0,True
CLM-0002134,-27,2024-08-08,49.27,53.05,419.3,445.2,0.992,2.82,3.95,0.0,True
CLM-0002134,-26,2024-08-09,48.88,52.62,439.0,478.5,1.101,1.92,3.03,0.0,True
CLM-0002134,-25,2024-08-10,47.56,51.56,408.5,446.0,1.108,2.37,3.26,0.0,True
CLM-0002134,-24,2024-08-11,46.97,49.4,419.4,442.3,1.246,2.84,4.47,0.0,True
CLM-0002134,-23,2024-08-12,,,,,,,,,False
CLM-0002134,-22,2024-08-13,48.02,52.21,413.0,431.6,1.031,2.23,3.56,0.0,True
CLM-0002134,-21,2024-08-14,47.0,49.13,435.0,457.6,1.288,3.32,4.92,1.0,True
CLM-0002134,-20,2024-08-15,50.68,55.54,408.2,443.6,1.35,2.97,4.62,0.0,True
CLM-0002134,-19,2024-08-16,49.78,52.02,400.9,429.2,1.185,2.46,3.22,0.0,True
CLM-0002134,-18,2024-08-17,47.78,50.4,408.4,437.5,1.231,2.01,2.49,0.0,True
CLM-0002134,-17,2024-08-18,49.8,52.61,410.9,442.3,1.055,1.59,2.52,0.0,True
CLM-0002134,-16,2024-08-19,48.54,49.99,431.5,448.5,1.122,2.68,4.42,0.0,True
CLM-0002134,-15,2024-08-20,48.21,49.67,425.7,445.0,1.128,2.91,3.99,0.0,True
CLM-0002134,-14,2024-08-21,48.64,52.55,428.6,457.8,1.284,2.56,3.84,0.0,True
CLM-0002134,-13,2024-08-22,52.29,53.57,420.4,439.2,1.238,1.72,2.71,0.0,True
CLM-0002134,-12,2024-08-23,50.04,55.56,410.7,423.5,1.151,2.46,3.51,0.0,True
CLM-0002134,-11,2024-08-24,48.15,51.06,408.4,424.7,1.145,2.21,3.21,0.0,True
CLM-0002134,-10,2024-08-25,50.54,52.51,426.5,459.9,0.905,2.46,3.88,0.0,True
CLM-0002134,-9,2024-08-26,50.47,53.89,443.8,465.8,1.441,3.18,4.8,0.0,True
CLM-0002134,-8,2024-08-27,49.27,49.81,405.9,432.7,0.887,2.72,4.11,0.0,True
CLM-0002134,-7,2024-08-28,48.09,50.76,404.7,421.5,1.263,2.63,3.65,0.0,True
CLM-0002134,-6,2024-08-29,47.96,50.76,403.0,431.0,1.206,2.38,3.56,0.0,True
CLM-0002134,-5,2024-08-30,46.6,48.33,432.5,455.3,1.16,2.57,3.73,0.0,True
CLM-0002134,-4,2024-08-31,49.11,51.48,419.4,447.9,1.199,2.11,3.06,0.0,True
CLM-0002134,-3,2024-09-01,47.53,52.06,428.3,449.5,1.101,2.62,3.77,0.0,True
CLM-0002134,-2,2024-09-02,47.88,51.06,412.4,441.4,1.298,2.32,3.48,0.0,True
CLM-0002134,-1,2024-09-03,50.0,53.4,429.3,450.1,1.003,2.07,2.85,0.0,True
CLM-0002134,0,2024-09-04,52.12,54.34,415.7,440.0,1.249,2.73,4.09,0.0,True
CLM-0001606,-89,2024-06-07,66.7,69.49,550.4,577.8,1.862,5.61,8.54,0.0,True
CLM-0001606,-88,2024-06-08,68.74,72.4,578.5,593.6,2.069,5.87,8.7,0.0,True
CLM-0001606,-87,2024-06-09,65.55,67.55,580.6,609.9,1.709,6.31,8.8,0.0,True
CLM-0001606,-86,2024-06-10,64.24,66.89,561.6,580.9,1.809,5.56,9.17,0.0,True
CLM-0001606,-85,2024-06-11,65.68,67.75,591.1,611.3,1.763,6.1,8.95,0.0,True
CLM-0001606,-84,2024-06-12,65.17,68.87,536.2,556.1,1.765,5.24,7.3,0.0,True
CLM-0001606,-83,2024-06-13,65.74,67.83,551.1,584.3,1.646,6.08,9.16,1.0,True
CLM-0001606,-82,2024-06-14,63.5,68.55,557.6,568.5,2.099,6.02,9.43,0.0,True
CLM-0001606,-81,2024-06-15,67.42,69.92,569.9,600.8,1.858,6.07,9.59,0.0,True
CLM-0001606,-80,2024-06-16,68.69,72.48,563.2,591.0,1.699,5.65,8.21,0.0,True
CLM-0001606,-79,2024-06-17,65.33,67.84,567.0,591.4,1.682,6.09,9.1,1.0,True
CLM-0001606,-78,2024-06-18,65.65,69.98,577.3,598.7,1.809,5.98,8.98,1.0,True
CLM-0001606,-77,2024-06-19,66.58,70.87,591.9,620.7,1.475,6.52,10.17,0.0,True
CLM-0001606,-76,2024-06-20,65.13,67.8,582.0,603.5,1.958,6.26,9.62,0.0,True
CLM-0001606,-75,2024-06-21,68.92,72.19,570.8,592.2,1.723,5.42,8.24,0.0,True
CLM-0001606,-74,2024-06-22,65.17,69.45,568.8,594.3,1.858,5.67,8.87,0.0,True
CLM-0001606,-73,2024-06-23,65.9,69.2,586.5,625.3,1.865,5.75,8.09,0.0,True
CLM-0001606,-72,2024-06-24,65.42,67.5,598.3,611.2,1.945,6.07,9.28,1.0,True
CLM-0001606,-71,2024-06-25,68.96,72.04,579.6,608.6,1.874,5.93,8.99,0.0,True
CLM-0001606,-70,2024-06-26,66.49,68.74,562.6,586.5,1.911,5.93,8.88,0.0,True
CLM-0001606,-69,2024-06-27,70.94,74.09,573.9,597.1,1.953,7.13,10.59,1.0,True
CLM-0001606,-68,2024-06-28,67.66,69.87,578.7,591.5,1.75,5.79,8.75,0.0,True
CLM-0001606,-67,2024-06-29,69.27,72.64,561.7,572.6,2.123,6.56,9.61,0.0,True
CLM-0001606,-66,2024-06-30,66.3,67.51,583.0,610.7,1.853,5.94,10.0,0.0,True
CLM-0001606,-65,2024-07-01,65.06,66.94,574.0,588.8,1.796,5.13,8.24,0.0,True
CLM-0001606,-64,2024-07-02,66.88,69.09,587.5,620.6,1.674,6.08,9.55,0.0,True
CLM-0001606,-63,2024-07-03,65.59,68.43,555.3,572.2,1.769,6.45,9.46,0.0,True
CLM-0001606,-62,2024-07-04,62.95,64.44,543.9,573.3,1.86,6.25,9.0,0.0,True
CLM-0001606,-61,2024-07-05,68.98,71.09,564.1,584.5,1.814,6.1,9.07,0.0,True
CLM-0001606,-60,2024-07-06,67.02,70.79,570.4,590.4,2.074,6.01,9.06,0.0,True
CLM-0001606,-59,2024-07-07,65.55,69.45,543.0,560.7,1.742,5.8,8.12,0.0,True
CLM-0001606,-58,2024-07-08,67.7,68.17,560.9,589.4,1.902,6.36,9.73,0.0,True
CLM-0001606,-57,2024-07-09,67.04,69.46,589.3,620.0,1.631,5.83,9.17,1.0,True
CLM-0001606,-56,2024-07-10,69.77,74.04,578.0,600.5,2.127,5.74,7.72,0.0,True
CLM-0001606,-55,2024-07-11,67.82,71.2,572.1,601.8,1.621,6.16,8.89,0.0,True
CLM-0001606,-54,2024-07-12,66.64,70.04,554.2,579.3,2.111,5.88,9.31,0.0,True
CLM-0001606,-53,2024-07-13,68.34,71.9,588.8,603.1,1.78,6.51,9.92,1.0,True
CLM-0001606,-52,2024-07-14,66.88,68.92,563.7,591.8,1.465,6.19,8.93,0.0,True
CLM-0001606,-51,2024-07-15,67.32,70.53,571.4,594.0,2.003,5.69,8.83,1.0,True
CLM-0001606,-50,2024-07-16,69.4,72.87,576.1,580.2,1.812,5.54,8.08,0.0,True
CLM-0001606,-49,2024-07-17,64.61,67.72,572.6,594.4,1.732,5.77,8.56,0.0,True
CLM-0001606,-48,2024-07-18,65.22,67.83,592.4,603.8,1.896,6.94,9.95,0.0,True
CLM-0001606,-47,2024-07-19,66.11,69.06,578.6,593.8,1.9,5.9,8.86,0.0,True
CLM-0001606,-46,2024-07-20,66.4,68.26,575.1,598.1,1.862,6.3,9.86,0.0,True
CLM-0001606,-45,2024-07-21,69.26,72.88,568.7,593.1,1.97,5.48,8.03,0.0,True
CLM-0001606,-44,2024-07-22,64.12,65.69,576.5,594.8,1.838,5.57,8.61,0.0,True
CLM-0001606,-43,2024-07-23,66.89,69.07,566.9,596.1,1.897,5.92,8.87,0.0,True
CLM-0001606,-42,2024-07-24,65.85,69.53,572.8,596.9,1.722,6.68,10.45,0.0,True
CLM-0001606,-41,2024-07-25,70.35,73.64,564.9,586.5,1.915,5.48,8.04,0.0,True
CLM-0001606,-40,2024-07-26,68.72,71.23,562.5,587.9,1.722,5.75,9.24,0.0,True
CLM-0001606,-39,2024-07-27,67.43,68.71,556.3,590.9,1.631,6.36,9.81,0.0,True
CLM-0001606,-38,2024-07-28,68.89,71.84,565.9,573.7,1.769,6.64,10.05,1.0,True
CLM-0001606,-37,2024-07-29,64.31,66.68,564.9,600.3,1.759,6.17,9.37,0.0,True
CLM-0001606,-36,2024-07-30,71.01,74.49,597.4,617.5,1.939,6.27,9.22,0.0,True
CLM-0001606,-35,2024-07-31,65.27,67.75,584.9,603.7,1.582,5.64,8.25,0.0,True
CLM-0001606,-34,2024-08-01,69.46,70.71,568.0,589.8,1.964,5.47,8.31,0.0,True
CLM-0001606,-33,2024-08-02,68.05,69.67,563.7,581.6,1.707,5.54,7.83,0.0,True
CLM-0001606,-32,2024-08-03,67.48,70.05,579.2,595.9,1.43,5.65,8.24,0.0,True
CLM-0001606,-31,2024-08-04,69.38,72.49,599.1,630.9,1.619,6.09,8.76,0.0,True
CLM-0001606,-30,2024-08-05,68.94,70.78,581.9,608.2,1.754,5.51,8.5,0.0,True
CLM-0001606,-29,2024-08-06,67.16,69.41,544.2,553.9,1.867,6.1,9.39,0.0,True
CLM-0001606,-28,2024-08-07,66.11,69.9,582.9,613.3,1.78,5.87,9.32,0.0,True
CLM-0001606,-27,2024-08-08,67.2,71.31,585.6,614.8,1.619,5.77,8.53,0.0,True
CLM-0001606,-26,2024-08-09,66.74,70.02,603.0,616.1,1.683,6.35,9.21,0.0,True
CLM-0001606,-25,2024-08-10,67.66,70.37,566.3,592.7,1.621,5.62,7.84,0.0,True
CLM-0001606,-24,2024-08-11,68.99,71.37,572.1,602.0,1.839,6.57,9.97,0.0,True
CLM-0001606,-23,2024-08-12,67.89,71.43,576.8,588.9,1.786,6.33,10.06,0.0,True
CLM-0001606,-22,2024-08-13,67.32,70.0,558.5,585.8,1.892,5.6,8.38,0.0,True
CLM-0001606,-21,2024-08-14,65.64,69.56,557.2,576.8,1.534,6.48,9.73,0.0,True
CLM-0001606,-20,2024-08-15,67.6,71.57,576.0,605.3,1.72,5.56,8.33,0.0,True
CLM-0001606,-19,2024-08-16,63.56,66.97,546.9,564.4,2.104,6.52,9.88,0.0,True
CLM-0001606,-18,2024-08-17,65.35,67.86,550.2,583.6,1.896,6.13,9.6,0.0,True
CLM-0001606,-17,2024-08-18,68.16,70.74,582.2,605.3,1.756,5.37,8.82,0.0,True
CLM-0001606,-16,2024-08-19,68.72,70.08,577.5,597.5,1.652,5.48,8.42,0.0,True
CLM-0001606,-15,2024-08-20,66.91,69.86,588.7,608.0,1.966,5.84,8.98,0.0,True
CLM-0001606,-14,2024-08-21,67.35,70.27,576.9,608.9,2.03,6.35,9.42,0.0,True
CLM-0001606,-13,2024-08-22,,,,,,,,,False
CLM-0001606,-12,2024-08-23,68.31,73.68,589.3,622.8,1.642,5.92,8.83,0.0,True
CLM-0001606,-11,2024-08-24,66.55,70.1,563.7,590.4,1.842,6.02,8.88,0.0,True
CLM-0001606,-10,2024-08-25,64.98,67.14,565.0,578.9,1.856,5.2,7.85,1.0,True
CLM-0001606,-9,2024-08-26,67.72,72.78,569.0,594.2,1.872,6.33,9.74,0.0,True
CLM-0001606,-8,2024-08-27,70.87,73.37,576.8,602.1,2.077,6.54,9.83,0.0,True
CLM-0001606,-7,2024-08-28,65.11,68.94,569.0,582.7,1.654,6.32,9.36,0.0,True
CLM-0001606,-6,2024-08-29,,,,,,,,,False
CLM-0001606,-5,2024-08-30,66.18,68.72,566.0,595.3,1.908,5.65,8.09,0.0,True
CLM-0001606,-4,2024-08-31,71.78,74.44,569.5,603.6,1.907,5.57,8.67,0.0,True
CLM-0001606,-3,2024-09-01,65.03,69.47,571.7,605.4,1.703,5.55,8.15,0.0,True
CLM-0001606,-2,2024-09-02,66.63,70.51,563.3,607.4,1.709,6.91,9.9,0.0,True
CLM-0001606,-1,2024-09-03,66.22,69.1,577.6,602.6,1.731,5.97,9.14,0.0,True
CLM-0001606,0,2024-09-04,64.44,65.39,545.8,575.3,2.056,6.36,9.75,0.0,True
CLM-0002652,-89,2024-06-07,55.04,56.93,533.9,558.0,1.348,3.82,5.71,0.0,True
CLM-0002652,-88,2024-06-08,60.02,63.94,543.2,559.2,1.351,3.11,5.26,0.0,True
CLM-0002652,-87,2024-06-09,54.47,58.06,496.2,519.1,1.345,4.0,6.22,0.0,True
CLM-0002652,-86,2024-06-10,59.93,62.7,534.5,571.3,1.012,3.32,5.45,0.0,True
CLM-0002652,-85,2024-06-11,59.67,65.38,522.5,564.6,1.071,3.75,5.52,0.0,True
CLM-0002652,-84,2024-06-12,54.68,57.66,540.3,563.6,0.994,3.85,5.36,0.0,True
CLM-0002652,-83,2024-06-13,58.32,61.38,513.0,541.4,0.984,3.5,5.12,0.0,True
CLM-0002652,-82,2024-06-14,57.16,59.48,539.0,567.2,1.429,3.96,5.91,0.0,True
CLM-0002652,-81,2024-06-15,55.43,57.62,509.2,520.4,1.052,3.54,5.32,0.0,True
CLM-0002652,-80,2024-06-16,55.98,58.45,531.0,546.8,1.031,3.74,5.54,0.0,True
CLM-0002652,-79,2024-06-17,56.78,60.63,529.3,535.7,1.192,3.49,5.41,0.0,True
CLM-0002652,-78,2024-06-18,56.97,60.54,522.7,551.3,1.088,2.85,4.07,0.0,True
CLM-0002652,-77,2024-06-19,59.24,63.53,509.5,550.1,1.539,3.55,5.05,0.0,True
CLM-0002652,-76,2024-06-20,57.39,59.68,519.5,553.0,1.159,3.25,4.51,0.0,True
CLM-0002652,-75,2024-06-21,54.71,58.3,538.8,564.2,1.267,4.16,6.3,0.0,True
CLM-0002652,-74,2024-06-22,57.74,61.04,547.3,571.5,1.083,3.05,4.61,0.0,True
CLM-0002652,-73,2024-06-23,52.75,56.19,554.3,576.5,0.951,4.09,6.46,0.0,True
CLM-0002652,-72,2024-06-24,55.48,57.61,532.9,566.4,1.091,3.53,5.76,0.0,True
CLM-0002652,-71,2024-06-25,55.67,57.63,528.8,555.5,1.092,3.76,5.28,0.0,True
CLM-0002652,-70,2024-06-26,57.57,61.11,531.7,557.2,1.091,3.05,4.58,0.0,True
CLM-0002652,-69,2024-06-27,59.79,63.66,553.9,570.1,0.96,3.48,5.15,0.0,True
CLM-0002652,-68,2024-06-28,56.69,59.07,532.8,562.6,1.22,3.33,4.54,0.0,True
CLM-0002652,-67,2024-06-29,55.53,59.14,526.3,550.1,1.149,4.44,6.5,0.0,True
CLM-0002652,-66,2024-06-30,54.85,59.05,520.9,549.0,0.969,3.32,5.46,0.0,True
CLM-0002652,-65,2024-07-01,,,,,,,,,False
CLM-0002652,-64,2024-07-02,55.86,57.42,530.8,542.7,1.314,4.07,5.86,0.0,True
CLM-0002652,-63,2024-07-03,55.24,56.93,513.7,536.4,1.38,4.06,6.07,0.0,True
CLM-0002652,-62,2024-07-04,58.15,60.48,515.6,537.1,0.837,3.36,5.32,0.0,True
CLM-0002652,-61,2024-07-05,58.59,61.14,524.0,544.8,1.09,4.32,6.39,0.0,True
CLM-0002652,-60,2024-07-06,54.33,57.3,518.2,534.3,0.994,4.4,6.65,0.0,True
CLM-0002652,-59,2024-07-07,53.26,56.24,533.9,553.1,1.102,3.75,4.93,0.0,True
CLM-0002652,-58,2024-07-08,56.05,58.78,535.1,551.3,1.408,3.41,5.29,0.0,True
CLM-0002652,-57,2024-07-09,53.97,57.65,528.9,560.5,1.091,3.26,4.95,0.0,True
CLM-0002652,-56,2024-07-10,53.7,55.94,532.3,560.4,1.129,3.79,5.95,0.0,True
CLM-0002652,-55,2024-07-11,54.17,58.43,526.8,554.2,1.076,3.63,4.88,0.0,True
CLM-0002652,-54,2024-07-12,58.34,62.28,468.1,477.7,1.444,3.67,5.42,0.0,True
CLM-0002652,-53,2024-07-13,57.55,61.42,511.9,552.5,0.855,3.06,4.88,0.0,True
CLM-0002652,-52,2024-07-14,61.16,63.51,535.6,557.3,1.117,3.61,5.25,0.0,True
CLM-0002652,-51,2024-07-15,54.97,57.85,512.4,551.4,1.07,4.06,6.1,0.0,True
CLM-0002652,-50,2024-07-16,58.91,62.63,537.8,568.8,0.942,3.93,5.77,0.0,True
CLM-0002652,-49,2024-07-17,57.24,60.04,538.7,561.8,1.365,3.43,5.04,0.0,True
CLM-0002652,-48,2024-07-18,55.14,57.44,521.0,562.4,0.93,3.56,5.68,0.0,True
CLM-0002652,-47,2024-07-19,55.96,58.22,516.1,545.7,1.131,3.01,4.09,0.0,True
CLM-0002652,-46,2024-07-20,,,,,,,,,False
CLM-0002652,-45,2024-07-21,56.77,58.61,524.3,546.2,1.087,3.46,5.27,0.0,True
CLM-0002652,-44,2024-07-22,58.22,64.09,534.4,567.7,0.94,3.85,6.06,0.0,True
CLM-0002652,-43,2024-07-23,55.51,56.56,489.9,510.6,1.175,3.32,4.94,0.0,True
CLM-0002652,-42,2024-07-24,57.95,59.97,514.0,536.0,1.086,3.19,5.07,0.0,True
CLM-0002652,-41,2024-07-25,58.79,62.39,509.8,530.0,1.321,3.9,5.84,0.0,True
CLM-0002652,-40,2024-07-26,59.24,61.56,487.2,506.2,1.277,3.43,5.18,0.0,True
CLM-0002652,-39,2024-07-27,53.9,56.55,517.6,537.0,1.492,3.26,4.92,0.0,True
CLM-0002652,-38,2024-07-28,56.15,59.55,502.5,541.7,1.216,3.92,6.08,0.0,True
CLM-0002652,-37,2024-07-29,57.67,61.7,519.2,552.2,1.288,3.78,5.84,0.0,True
CLM-0002652,-36,2024-07-30,54.08,56.8,517.7,544.6,1.146,3.52,4.94,0.0,True
CLM-0002652,-35,2024-07-31,53.63,57.55,531.8,552.4,1.457,3.46,5.25,0.0,True
CLM-0002652,-34,2024-08-01,56.2,57.5,521.2,541.8,1.202,3.75,5.79,0.0,True
CLM-0002652,-33,2024-08-02,55.42,57.82,499.6,521.7,1.185,3.82,6.16,0.0,True
CLM-0002652,-32,2024-08-03,55.91,59.4,530.2,569.5,1.281,3.68,5.22,0.0,True
CLM-0002652,-31,2024-08-04,55.31,60.28,561.3,588.6,1.103,3.65,5.63,0.0,True
CLM-0002652,-30,2024-08-05,60.57,62.6,541.1,572.1,1.125,3.36,4.93,0.0,True
CLM-0002652,-29,2024-08-06,55.33,57.19,535.2,561.8,1.281,3.38,5.13,0.0,True
CLM-0002652,-28,2024-08-07,57.42,60.76,522.1,540.0,1.31,3.53,4.97,0.0,True
CLM-0002652,-27,2024-08-08,57.29,60.34,517.6,543.5,1.29,3.22,4.82,0.0,True
CLM-0002652,-26,2024-08-09,52.87,55.15,516.6,533.0,1.188,3.17,4.85,0.0,True
CLM-0002652,-25,2024-08-10,59.18,60.97,528.6,563.2,1.241,3.56,5.06,0.0,True
CLM-0002652,-24,2024-08-11,57.5,59.99,508.0,527.0,1.344,4.0,6.43,0.0,True
CLM-0002652,-23,2024-08-12,56.56,60.09,528.3,548.7,1.036,2.77,3.69,0.0,True
CLM-0002652,-22,2024-08-13,58.36,61.03,515.0,546.6,1.2,3.44,5.33,0.0,True
CLM-0002652,-21,2024-08-14,56.15,60.33,499.3,518.7,0.763,3.71,4.83,0.0,True
CLM-0002652,-20,2024-08-15,58.01,60.88,514.8,538.1,1.311,4.03,5.97,0.0,True
CLM-0002652,-19,2024-08-16,52.5,56.1,543.8,547.7,1.083,4.32,6.62,0.0,True
CLM-0002652,-18,2024-08-17,57.89,61.16,527.1,549.5,1.087,3.5,5.46,0.0,True
CLM-0002652,-17,2024-08-18,56.62,59.21,471.7,501.5,1.182,4.39,6.55,0.0,True
CLM-0002652,-16,2024-08-19,56.65,60.48,514.9,534.9,1.293,3.78,5.6,0.0,True
CLM-0002652,-15,2024-08-20,54.57,56.35,538.5,568.0,1.559,3.93,6.06,0.0,True
CLM-0002652,-14,2024-08-21,55.81,58.26,520.5,545.4,0.967,3.17,5.05,0.0,True
CLM-0002652,-13,2024-08-22,55.75,58.34,532.9,566.6,1.073,3.78,6.09,0.0,True
CLM-0002652,-12,2024-08-23,53.97,57.35,519.1,538.2,1.234,3.96,5.55,0.0,True
CLM-0002652,-11,2024-08-24,56.97,60.6,527.8,550.8,1.091,3.32,4.93,0.0,True
CLM-0002652,-10,2024-08-25,59.4,61.58,525.5,538.8,1.325,2.56,3.18,0.0,True
CLM-0002652,-9,2024-08-26,53.41,55.45,515.3,539.6,1.175,3.66,5.08,0.0,True
CLM-0002652,-8,2024-08-27,57.23,60.31,533.6,555.2,1.333,3.51,5.06,0.0,True
CLM-0002652,-7,2024-08-28,55.41,56.87,548.0,580.7,1.163,4.14,6.47,0.0,True
CLM-0002652,-6,2024-08-29,55.18,59.19,530.8,550.8,1.282,3.38,4.93,0.0,True
CLM-0002652,-5,2024-08-30,56.4,59.18,526.6,548.2,1.056,3.32,4.89,0.0,True
CLM-0002652,-4,2024-08-31,56.43,58.26,512.4,532.0,1.491,3.13,4.79,0.0,True
CLM-0002652,-3,2024-09-01,56.62,58.43,539.1,564.3,0.945,3.35,4.82,0.0,True
CLM-0002652,-2,2024-09-02,53.99,57.3,517.3,558.2,1.094,4.67,6.4,0.0,True
